region,number,rate
USA,1933608,0.0189
Singapore,1933608,0.0189
China,1933608,0.2264
World,1933608,0.2642
USA,1966175,0.1321
Singapore,1966175,0.0189
China,1966175,0.0192
World,1966175,0.1702
USA,1988401,1.3774
Singapore,1988401,0.6604
China,1988401,0.1731
World,1988401,2.2109
USA,1988659,3.1698
Singapore,1988659,0.0189
China,1988659,0.0192
World,1988659,3.2079
USA,1988753,3.2453
Singapore,1988753,0.3774
China,1988753,0.0566
World,1988753,3.6793
USA,1989113,7.283
Singapore,1989113,3.3019
China,1989113,0.5094
World,1989113,11.0943
USA,1989255,0.4528
Singapore,1989255,0.0377
China,1989255,0.0189
World,1989255,0.5094
USA,2333325,0.0377
Singapore,2333325,0.1132
China,2333325,0.5385
World,2333325,0.6894
USA,2912357,3.8113
Singapore,2912357,1.3208
China,2912357,2.2115
World,2912357,7.3436
USA,2912740,0.1321
Singapore,2912740,0.0377
China,2912740,0.0192
World,2912740,0.189
USA,2912745,0.6604
Singapore,2912745,0.9811
China,2912745,0.3019
World,2912745,1.9434
USA,2934880,0.0377
Singapore,2934880,0.0377
China,2934880,0.1321
World,2934880,0.2075
USA,2944852,0.8679
Singapore,2944852,0.2453
China,2944852,5.5094
World,2944852,6.6226
USA,2944889,1.5849
Singapore,2944889,0.3962
China,2944889,0.9038
World,2944889,2.8849
USA,2967195,0.0189
Singapore,2967195,0.0377
China,2967195,0.0192
World,2967195,0.0758
USA,2977722,0.2453
Singapore,2977722,0.1887
China,2977722,0.2453
World,2977722,0.6793
USA,2993444,0.4151
Singapore,2993444,0.1132
China,2993444,0.434
World,2993444,0.9623
USA,2993483,0.0566
Singapore,2993483,0.3396
China,2993483,0.0189
World,2993483,0.4151
USA,3851337,7.1509
Singapore,3851337,0.2264
China,3851337,0.2692
World,3851337,7.6465
USA,5583919,0.3208
Singapore,5583919,0.0943
China,5583919,0.0192
World,5583919,0.4343
USA,7023930,0.0189
Singapore,7023930,0.0189
China,7023930,0.0192
World,7023930,0.057
USA,7024034,0.0377
Singapore,7024034,0.3208
China,7024034,0.0377
World,7024034,0.3962
USA,7038435,135.7925
Singapore,7038435,18.7547
China,7038435,47.4528
World,7038435,202.0
USA,7038569,0.1321
Singapore,7038569,0.1887
China,7038569,0.0189
World,7038569,0.3397
USA,7038571,2.4717
Singapore,7038571,0.0189
China,7038571,0.6154
World,7038571,3.106
USA,7038847,41.3208
Singapore,7038847,5.8302
China,7038847,5.8269
World,7038847,52.9779
USA,7045042,8.9623
Singapore,7045042,5.3585
China,7045042,7.7925
World,7045042,22.1133
USA,7045585,0.0755
Singapore,7045585,0.0755
China,7045585,0.0189
World,7045585,0.1699
USA,7070762,0.4717
Singapore,7070762,0.0755
China,7070762,0.0755
World,7070762,0.6227
USA,7131269,0.2642
Singapore,7131269,0.0377
China,7131269,0.3077
World,7131269,0.6096
USA,7131911,6.4151
Singapore,7131911,0.3396
China,7131911,1.9231
World,7131911,8.6778
USA,7132473,60.434
Singapore,7132473,5.3774
China,7132473,8.8846
World,7132473,74.696
USA,7185907,0.434
Singapore,7185907,0.4528
China,7185907,0.3396
World,7185907,1.2264
USA,7197803,0.0377
Singapore,7197803,0.1132
China,7197803,0.0189
World,7197803,0.1698
USA,7201604,0.4717
Singapore,7201604,0.2642
China,7201604,0.434
World,7201604,1.1699
USA,7241998,0.0755
Singapore,7241998,0.0189
China,7241998,0.0192
World,7241998,0.1136
USA,7242219,3.3396
Singapore,7242219,0.5472
China,7242219,1.75
World,7242219,5.6368
USA,7266418,3.1887
Singapore,7266418,0.4906
China,7266418,2.2692
World,7266418,5.9485
USA,7279531,0.2075
Singapore,7279531,0.0566
China,7279531,0.1698
World,7279531,0.4339
USA,7289916,0.0943
Singapore,7289916,1.3585
China,7289916,0.2453
World,7289916,1.6981
USA,1060009638,0.0943
Singapore,1060009638,0.0943
China,1060009638,0.1887
World,1060009638,0.3773
USA,1060013731,0.6604
Singapore,1060013731,0.1132
China,1060013731,1.5192
World,1060013731,2.2928
USA,1060015723,0.717
Singapore,1060015723,0.2075
China,1060015723,0.0192
World,1060015723,0.9437
USA,1060017415,0.0189
Singapore,1060017415,0.1698
China,1060017415,0.0377
World,1060017415,0.2264
USA,1060020390,1.434
Singapore,1060020390,0.0189
China,1060020390,0.0377
World,1060020390,1.4906
USA,1060023339,0.3774
Singapore,1060023339,1.1509
China,1060023339,0.1132
World,1060023339,1.6415
USA,1060024472,18.9623
Singapore,1060024472,0.7547
China,1060024472,1.7692
World,1060024472,21.4862
USA,1060026514,0.4528
Singapore,1060026514,0.1887
China,1060026514,0.2115
World,1060026514,0.853
USA,1060026699,0.9245
Singapore,1060026699,0.1132
China,1060026699,0.0769
World,1060026699,1.1146
USA,1060027349,3.6038
Singapore,1060027349,0.3208
China,1060027349,0.1509
World,1060027349,4.0755
USA,1060028296,0.434
Singapore,1060028296,0.1887
China,1060028296,0.0377
World,1060028296,0.6604
USA,1060029499,4.3962
Singapore,1060029499,0.0755
China,1060029499,0.2264
World,1060029499,4.6981
USA,1060040181,0.5094
Singapore,1060040181,0.0377
China,1060040181,0.0192
World,1060040181,0.5663
USA,1060041723,0.434
Singapore,1060041723,0.1132
China,1060041723,0.0192
World,1060041723,0.5664
USA,1060041755,0.2642
Singapore,1060041755,0.0377
China,1060041755,0.0189
