id,number, price , H-RSHQ , H-CSC ,L-CSC,L-USA,L-Singapore,L-China,L-USA-1,L-Singapore-1,L-China-1
1,1933608,0.41,0.08,0.07,1,6,6,7,7,7,8
2,1966175,55.21,11.04,9.94,18,2,2,2,3,3,3
3,1988401,84.15,16.83,15.15,6,2,2,2,3,3,3
4,1988659,1.02,0.20,0.18,1,6,6,7,7,7,8
5,1988753,10.82,2.16,1.95,4,6,6,7,7,7,8
6,1989113,0.81,0.16,0.15,1,6,6,7,7,7,8
7,1989255,38.11,7.62,6.86,1,2,2,2,3,3,3
8,2333325,3.70,0.74,0.67,1,6,6,7,7,7,8
9,2912357,5.90,1.18,1.06,1,6,6,7,7,7,8
10,2912740,2.54,0.51,0.46,1,6,6,7,7,7,8
11,2912745,8.60,1.72,1.55,1,6,6,7,7,7,8
12,2934880,8.53,1.71,1.54,1,6,6,7,7,7,8
13,2944852,1.34,0.27,0.24,12,6,6,7,7,7,8
14,2944889,1.27,0.25,0.23,1,6,6,7,7,7,8
15,2967195,43.76,8.75,7.88,1,2,2,2,3,3,3
16,2977722,41.26,8.25,7.43,1,2,2,2,3,3,3
17,2993444,34.07,6.81,6.13,1,2,2,2,3,3,3
18,2993483,11.64,2.33,2.10,1,6,6,7,7,7,8
19,3851337,1.21,0.24,0.22,1,6,6,7,7,7,8
20,5583919,59.84,11.97,10.77,1,2,2,2,3,3,3
21,7023930,0.89,0.18,0.16,1,6,6,7,7,7,8
22,7024034,42.41,8.48,7.63,12,2,2,2,3,3,3
23,7038569,27.88,5.58,5.02,19,2,2,2,3,3,3
24,7038571,0.33,0.07,0.06,1,6,6,7,7,7,8
25,7045585,29.77,5.95,5.36,12,2,2,2,3,3,3
26,7070762,2.22,0.44,0.40,1,6,6,7,7,7,8
27,7131269,4.98,1.00,0.90,1,6,6,7,7,7,8
28,7131911,8.51,1.70,1.53,1,6,6,7,7,7,8
29,7185907,7.12,1.42,1.28,1,6,6,7,7,7,8
30,7197803,4.47,0.89,0.80,1,6,6,7,7,7,8
31,7201604,23.31,4.66,4.20,1,6,6,7,7,7,8
32,7241998,16.82,3.36,3.03,2,6,6,7,7,7,8
33,7242219,0.71,0.14,0.13,1,6,6,7,7,7,8
34,7266418,14.52,2.90,2.61,1,6,6,7,7,7,8
35,7279531,118.99,23.80,21.42,1,2,2,2,3,3,3
36,7289916,58.90,11.78,10.60,18,2,2,2,3,3,3
37,1060009638,157.40,31.48,28.33,13,2,2,2,3,3,3
38,1060013731,0.76,0.15,0.14,1,6,6,7,7,7,8
39,1060015723,0.35,0.07,0.06,1,6,6,7,7,7,8
40,1060017415,10.57,2.11,1.90,1,6,6,7,7,7,8
41,1060020390,15.88,3.18,2.86,1,6,6,7,7,7,8
42,1060023339,104.81,20.96,18.87,1,2,2,2,3,3,3
43,1060026514,121.37,24.27,21.85,23,2,2,2,3,3,3
44,1060026699,7.75,1.55,1.40,1,6,6,7,7,7,8
45,1060027349,3.25,0.65,0.59,1,6,6,7,7,7,8
46,1060028296,8.12,1.62,1.46,1,6,6,7,7,7,8
47,1060029499,22.92,4.58,4.13,1,6,6,7,7,7,8
48,1060040181,9.94,1.99,1.79,1,6,6,7,7,7,8
49,1060041723,42.93,8.59,7.73,1,2,2,2,3,3,3
50,1060041755,54.46,10.89,9.80,31,2,2,2,3,3,3
51,1060041769,576.85,115.37,103.83,46,2,2,2,3,3,3
52,1060041862,28.75,5.75,5.18,1,2,2,2,3,3,3
53,1060042501,133.62,26.72,24.05,12,2,2,2,3,3,3
54,1060043083,7.43,1.49,1.34,1,6,6,7,7,7,8
55,1060043348,109.82,21.96,19.77,22,2,2,2,3,3,3
56,1060043433,386.46,77.29,69.56,1,2,2,2,3,3,3
57,1060044814,15.75,3.15,2.84,1,6,6,7,7,7,8
58,1060047381,20.54,4.11,3.70,1,6,6,7,7,7,8
59,1060050272,45.37,9.07,8.17,1,2,2,2,3,3,3
60,1060050660,5.98,1.20,1.08,1,6,6,7,7,7,8
61,1060052787,56.54,11.31,10.18,1,2,2,2,3,3,3
62,1060053122,321.36,64.27,57.84,1,2,2,2,3,3,3
63,1060053952,1.12,0.22,0.20,1,6,6,7,7,7,8
